'Fecha', 'Hora', 'Segundos', 'Latencia (ms)', 'Download (Mbit/s)', 'Upload (Mbit/s)'
'26/06/2014 20:16:11', '1403831771', '0,1', '0,1', '0,1'
'26/06/2014 20:20:22', '1403832022', '16,928', '7,59', '1,92'
'26/06/2014 20:30:13', '1403832613', '19,948', '0,31', '0,39'
'26/06/2014 20:40:15', '1403833215', '14,702', '6,77', '1,80'
'26/06/2014 20:50:24', '1403833824', '15,656', '10,28', '2,03'
'26/06/2014 21:00:11', '1403834411', '18,835', '10,26', '2,05'
'26/06/2014 21:10:06', '1403835006', '20,742', '10,16', '1,99'
'26/06/2014 21:20:08', '1403835608', '19,391', '8,06', '1,84'
'26/06/2014 21:30:01', '1403836201', '14,623', '8,95', '1,96'
'26/06/2014 21:40:03', '1403836803', '22,888', '7,00', '2,03'
'26/06/2014 21:50:11', '1403837411', '20,981', '8,95', '1,99'
'26/06/2014 22:00:06', '1403838006', '21,935', '8,51', '2,00'
'26/06/2014 22:10:21', '1403838621', '26,306', '9,33', '2,04'
'26/06/2014 22:20:12', '1403839212', '15,338', '9,04', '2,04'
'26/06/2014 22:30:05', '1403839805', '21,935', '9,97', '2,03'
'26/06/2014 22:40:07', '1403840407', '12,954', '9,23', '1,95'
'26/06/2014 22:50:19', '1403841019', '17,564', '9,00', '1,98'
'26/06/2014 23:00:02', '1403841602', '17,722', '9,71', '1,96'
'26/06/2014 23:10:22', '1403842222', '14,623', '9,33', '1,79'
'26/06/2014 23:20:24', '1403842824', '27,021', '9,68', '1,99'
'26/06/2014 23:30:17', '1403843417', '16,61', '8,74', '1,96'
'26/06/2014 23:40:19', '1403844019', '20,981', '9,56', '2,07'
'26/06/2014 23:49:52', '1403844592', '20,027', '0,21', '2,06'
'27/06/2014 00:00:10', '1403845210', '20,345', '8,20', '1,98'
'27/06/2014 00:10:22', '1403845822', '17,961', '9,87', '1,82'
'27/06/2014 00:20:13', '1403846413', '28,292', '8,71', '1,98'
'27/06/2014 00:30:04', '1403847004', '17,325', '7,57', '1,99'
'27/06/2014 00:40:04', '1403847604', '19,391', '10,06', '1,85'
'27/06/2014 00:50:24', '1403848224', '17,007', '10,31', '2,07'
'27/06/2014 01:00:12', '1403848812', '12,318', '10,32', '2,08'
'27/06/2014 01:10:05', '1403849405', '19,709', '10,34', '2,08'
'27/06/2014 01:20:29', '1403850029', '20,663', '10,32', '2,07'
'27/06/2014 01:30:11', '1403850611', '21,617', '10,34', '2,07'
'27/06/2014 01:40:05', '1403851205', '28,292', '10,28', '2,07'
'27/06/2014 01:50:25', '1403851825', '20,027', '10,31', '2,08'
'27/06/2014 02:00:19', '1403852419', '28,928', '10,34', '2,08'
'27/06/2014 02:10:28', '1403853028', '19,073', '10,33', '2,07'
'27/06/2014 02:20:19', '1403853619', '24,637', '10,33', '2,07'
'27/06/2014 02:30:12', '1403854212', '15,974', '10,33', '2,06'
'27/06/2014 02:40:25', '1403854825', '22,729', '10,33', '2,08'
'27/06/2014 02:50:23', '1403855423', '19,312', '10,33', '2,08'
'27/06/2014 03:00:07', '1403856007', '18,358', '10,27', '2,07'
'27/06/2014 03:10:14', '1403856614', '19,312', '10,32', '2,08'
'27/06/2014 03:20:22', '1403857222', '18,676', '10,32', '2,08'
'27/06/2014 03:30:23', '1403857823', '20,742', '10,34', '2,07'
'27/06/2014 03:40:17', '1403858417', '24,239', '10,31', '2,07'
'27/06/2014 03:50:15', '1403859015', '19,391', '10,34', '2,07'
'27/06/2014 04:00:10', '1403859610', '18,915', '10,30', '2,07'
'27/06/2014 04:10:06', '1403860206', '17,961', '10,33', '2,07'
'27/06/2014 04:20:27', '1403860827', '22,729', '10,33', '2,06'
'27/06/2014 04:30:28', '1403861428', '19,948', '10,32', '2,06'
'27/06/2014 04:40:11', '1403862011', '13,431', '10,33', '2,07'
'27/06/2014 04:50:12', '1403862612', '19,232', '10,32', '2,07'
'27/06/2014 05:00:27', '1403863227', '18,676', '10,32', '2,07'
'27/06/2014 05:10:20', '1403863820', '25,908', '10,30', '2,07'
'27/06/2014 05:20:22', '1403864422', '0,1', '0,1', '0,1'
'27/06/2014 05:30:20', '1403865020', '20,425', '10,32', '2,06'
'27/06/2014 05:40:22', '1403865622', '17,643', '10,31', '2,07'
'27/06/2014 05:50:17', '1403866217', '19,232', '10,34', '2,06'
'27/06/2014 06:00:04', '1403866804', '18,597', '10,30', '2,05'
'27/06/2014 06:10:00', '1403867400', '19,63', '10,29', '2,08'
'27/06/2014 06:20:29', '1403868029', '20,663', '10,26', '2,05'
'27/06/2014 06:30:22', '1403868622', '21,14', '10,33', '2,06'
'27/06/2014 06:40:02', '1403869202', '18,04', '10,29', '2,07'
'27/06/2014 06:50:06', '1403869806', '17,405', '10,34', '2,07'
